Household ID,Client ID,Enrollment ID,Service ID,Service Name,Service Amount,Start Date,End Date
123456,B04C7EF25,670938,678880,Rental Assistance,4000,2022-06-12,2022-06-30
123456,B04C7EF25,670938,238474,Rental Assistance,3800,2022-07-01,2022-07-31
123456,B04C7EF25,670938,603046,Rental Assistance,3800,2022-08-01,2022-08-31
123456,B04C7EF25,670938,664710,Rental Assistance,3800,2022-09-01,2022-09-30
123456,B04C7EF25,670938,997913,Rental Assistance,3400,2022-10-01,2022-10-31
123456,B04C7EF25,670938,138512,Rental Assistance,3200,2022-11-01,2022-11-30
123456,B04C7EF25,670938,272003,Rental Assistance,3000,2022-12-01,2022-12-31
123456,B04C7EF25,670938,829056,Rental Assistance,2000,2023-01-01,2023-01-31
123456,B04C7EF25,670938,672213,Rental Assistance,2400,2023-02-01,2023-02-28
123456,B04C7EF25,670938,939131,Rental Assistance,1800,2023-03-01,2023-03-31
123456,B04C7EF25,670938,725618,Rental Assistance,1600,2023-04-01,2023-04-30
123456,B04C7EF25,670938,350145,Rental Assistance,1200,2023-05-01,2023-05-31
123456,B04C7EF25,670938,955042,Rental Assistance,1200,2023-06-01,2023-06-30
234567,5E3A8D1F6,604985,732798,Motel/Hotel Voucher,1800,2022-07-10,2022-07-31
234567,5E3A8D1F6,604985,330196,Motel/Hotel Voucher,2200,2022-08-01,2022-08-31
234567,5E3A8D1F6,604985,428049,Motel/Hotel Voucher,2200,2022-09-01,2022-09-30
234567,5E3A8D1F6,604985,137782,Motel/Hotel Voucher,2200,2022-10-01,2022-10-31
234567,5E3A8D1F6,604985,221814,Motel/Hotel Voucher,2200,2022-11-01,2022-11-30
234567,5E3A8D1F6,604985,633533,Motel/Hotel Voucher,2200,2022-12-01,2022-12-31
234567,A7C4D9E2B,582471,767476,Motel/Hotel Voucher,1800,2022-07-10,2022-07-31
314159,8A2F9BCD8,436642,620886,Bed,0,2022-06-19,2023-04-18
314159,8A2F9BCD9,227910,747940,Rental Assistance,3200,2023-04-02,2023-04-30
314159,8A2F9BCD9,227910,911973,Rental Assistance,2800,2023-05-01,2023-05-31
314159,8A2F9BCD9,227910,603776,Rental Assistance,2400,2023-06-01,2023-06-30
314159,3E56A1D90,299751,401668,Bed,0,2022-06-20,2023-04-19
345678,8D1F6E3A5,197345,996759,Housing Application,45,2023-04-10,2023-04-10
456789,1A8D7F2B9,47892,592253,Security Deposit,3000,2023-01-01,2023-01-01
456789,1A8D7F2B9,913827,784701,Motel/Hotel Voucher,1500,2022-05-17,2022-05-31
456789,1A8D7F2B9,913827,970377,Motel/Hotel Voucher,2200,2022-06-01,2022-06-30
456789,1A8D7F2B9,913827,680161,Motel/Hotel Voucher,2200,2022-07-01,2022-07-31
456789,1A8D7F2B9,913827,767591,Motel/Hotel Voucher,2200,2022-08-01,2022-08-31
456789,1A8D7F2B9,913827,374064,Motel/Hotel Voucher,2200,2022-09-01,2022-10-01
456789,1A8D7F2B9,913827,547116,Motel/Hotel Voucher,2200,2022-10-01,2022-10-31
456789,1A8D7F2B9,913827,267228,Motel/Hotel Voucher,2200,2022-11-01,2022-11-30
456789,1A8D7F2B9,913827,201346,Motel/Hotel Voucher,2200,2022-12-01,2022-12-31
456789,1A8D7F2B9,913827,555623,Motel/Hotel Voucher,2200,2023-01-01,2023-01-28
654321,9BEC458FA,946617,623903,Motel/Hotel Voucher,1300,2022-11-17,2022-11-30
654321,9BEC458FA,946617,716321,Motel/Hotel Voucher,2200,2022-12-01,2022-12-31
654321,9BEC458FA,946617,826158,Motel/Hotel Voucher,2200,2023-01-01,2023-01-31
654321,9BEC458FA,946617,593355,Motel/Hotel Voucher,2200,2023-02-01,2023-02-28
654321,9BEC458FA,946617,898527,Motel/Hotel Voucher,2200,2023-03-01,2023-03-31
654321,9BEC458FA,946617,359304,Motel/Hotel Voucher,2200,2023-04-01,2023-04-30
654321,9BEC458FA,946617,801658,Motel/Hotel Voucher,2200,2023-05-01,2023-05-28
654321,9BEC458FA,862825,547754,Furniture,800,2023-06-02,2023-06-02
901234,9C4B5A2D8,287561,799868,Bed,0,2022-08-04,2022-10-04
901234,7F2B9E1A8,415926,802627,Bed,0,2022-08-04,2022-11-11
901234,B2A7C4D9E,749806,989594,Bed,0,2022-08-04,2023-06-30
901234,5F8A1C6D3,176983,856858,Bed,0,2022-08-04,2023-06-30
